head,tail,relation,context
慢性阻塞性肺疾病,呼吸道感染,危险因素-疾病,...时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中重度吸烟、长期粉尘组成慢阻肺中西医结合管理专家共识写作组...
慢性阻塞性肺疾病,细菌感染,危险因素-疾病,发病和加剧的重要因素，病毒和（或）细菌感染是慢引用本文：中华医学会呼吸病学分会慢性阻塞性肺疾病学组 中国医师协会呼吸医师分会慢性阻塞性肺疾病工作委员会 慢...
支气管哮喘,呼吸道感染,危险因素-疾病,...吸矛盾运动，部分患者在呼吸困难加史、结核病史［ ］、儿童时期呼吸道感染［ ］及呼吸道 重时采用缩唇呼吸方式和（或）前倾体位；
肺炎,吸烟,危险因素-疾病,良反应发生率低，但 有增加肺炎发病率的风ICS不良反应和注意事项：总体来说，吸入抗胆碱能药 险［ ］，发生肺炎的高危因素如下［ ］： 吸烟；
心力衰竭,抗感染,危险因素-疾病,心力衰竭加重需与慢阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢...
支气管扩张,吸烟,危险因素-疾病,研究发现，合并支气管扩张与慢阻肺%~%焦虑和抑郁是慢阻肺重要合并症，常发生于年 急性加重病程延长、气道铜绿假单孢菌定植、病死轻女性、吸烟、 较低、咳嗽、圣乔治呼吸问卷评 率升高相关［ ］。
肺癌,吸烟史,危险因素-疾病,‐（四）肺癌 （八）阻塞性睡眠呼吸暂停（ ）OSA肺气肿和肺癌的相关性高于气流受限和肺癌 慢阻肺患者合并 的患病率为OSA%~的相关性［ ］，同时具有肺气肿和气流受限者肺 ［ ］，中重度慢阻肺患者 患
阻塞性睡眠呼吸暂停,吸烟史,危险因素-疾病,‐（四）肺癌 （八）阻塞性睡眠呼吸暂停（ ）OSA肺气肿和肺癌的相关性高于气流受限和肺癌 慢阻肺患者合并 的患病率为OSA%~的相关性［ ］，同时具有肺气肿和气流受限者肺 ［ ］，中重度慢阻肺患者 患
慢性阻塞性肺疾病,吸烟史,危险因素-疾病,...括年≥.mmol/L量异常，即口服 葡萄糖负荷后 血糖 龄、吸烟史、慢阻肺家族遗传倾向、低出生体重、儿gh ≥即可诊断 型糖尿...
慢性阻塞性肺疾病,空气污染,危险因素-疾病,.../ /常，基于此，近期国际上提出了较多新术语（见 吸道感染、空气污染或其他肺部损伤引起的局部和表 ）［］，旨在结合一级和二级预防...
支气管哮喘,吸烟,危险因素-疾病,...urrent smoker.（RR=.）.重度急性加重事◼ 吸烟状态：对于不同吸烟状态人群，中/重度急性加重事件Overal...
慢性阻塞性肺疾病,二氧化硫,危险因素-疾病,...雾与吸烟具有协同作用空气污染：颗粒物质（ ）和有害气体物质（二氧化硫、二氧化氮、臭氧和一氧化碳等）与慢阻肺的发病呈暴露剂量、时间...
慢性阻塞性肺疾病,二氧化氮,危险因素-疾病,...有协同作用空气污染：颗粒物质（ ）和有害气体物质（二氧化硫、二氧化氮、臭氧和一氧化碳等）与慢阻肺的发病呈暴露剂量、时间相. PM...
慢性阻塞性肺疾病,二氧化硅,危险因素-疾病,...发病呈暴露剂量、时间相. PM关性［⁃职业性粉尘和化学物质：二氧化硅、煤尘、有机粉尘、过敏原等的浓度过大或接触时间过久，均可导致...
支气管扩张,细菌感染,危险因素-疾病,肺功能检查提示限制性通气功能障碍支气管扩张症 大量脓痰，部分患者可表现为咯血，常伴有细菌感染，听诊可闻及粗湿啰音，可见杵状指， 线胸片或 示支气管扩X ...
支气管哮喘,气候变化,危险因素-疾病,哮喘患者的气道黏液纤毛清除功能较对照 其在遇到刺激物、气候变化及感染加重时尤为明显。
慢性阻塞性肺疾病,抗感染,危险因素-疾病,...冷汗淋漓、精神萎靡的患者，在有创—无创正压通气、吸氧、平喘、抗感染治疗的基础上，推 无创序贯机械通气和基础治疗（解痉平喘药物、...
支气管哮喘,污染物,危险因素-疾病,...恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应...
肺炎,细菌感染,危险因素-疾病,阻肺急性加重患者合并细菌感染时最常见的临床 中西医结合治疗急性呼吸衰竭可能有助于提高总证候，针对痰热壅肺证患者，在西医规范治疗基础 有效率、撤机成功率、改善血氧和二氧化碳分压、上，酌情加用清热化痰类中
糖尿病,呼吸道感染,危险因素-疾病,...烟史、慢阻肺家族遗传倾向、低出生体重、儿gh ≥即可诊断 型糖尿病，并不要求患者一 童时期下呼吸道感染、特应性，甚至出现某些呼吸.mmol/L定出现三多一少症状［...
肺癌,吸烟,危险因素-疾病,阐述了“哮喘 慢阻肺重叠综合征（ ）”的定义，‐ ACOS肺癌：慢阻肺患者罹患肺癌的概率为普通人 提出了对慢性气道疾病五步诊断法、 的具体. ACOS的 倍，即使控制了吸烟因素后，发生肺癌的概 诊断标
心力衰竭,呼吸道感染,危险因素-疾病,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心
肺栓塞,呼吸道感染,危险因素-疾病,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心
心力衰竭,吸烟,危险因素-疾病,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或
肺栓塞,吸烟,危险因素-疾病,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或
慢性阻塞性肺疾病,污染物,危险因素-疾病,...，锻炼，戴口罩防护环境因素（吸烟、大气污染、变应原等）：减少污染物暴露疫苗预防：每年 次（秋季）注射流感疫苗；
肺炎,抗感染,危险因素-疾病,...社区 痰多质黏色黄，舌红苔黄的患者，在止咳化痰、平喘、获得性肺炎患者日，报告不良反应共例，包括恶心、 持续低流量吸氧、抗感染基础上推荐联合使用痰热清注上腹部不适、静脉炎，与对照组比较，...
呼吸衰竭,抗感染,危险因素-疾病,推荐意见：对慢阻肺急性加重期合并呼吸衰竭且推荐意见：对于慢阻肺急性加重期合并呼吸衰竭， 存在有创机械通气指征，兼咳嗽、憋喘、心慌、面色苍兼发热、咳嗽、咯痰不利、舌红、苔黄的患者，在间断 白、四肢冰冷、
慢性阻塞性肺疾病,烟草烟雾,危险因素-疾病,...，有文献报道女慢阻肺是一种常见的、可预防和治疗的慢性气 性对烟草烟雾的危害更敏感［， ］。
骨质疏松症,吸烟,危险因素-疾病,危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。
支气管哮喘,吸烟史,危险因素-疾病,患者%~% CT慢阻肺应与哮喘、支气管扩张症、充血性心力 往往吸烟史较长，每日痰量较大，加重次数较多，肺衰竭、肺结核和弥漫性泛细...
支气管扩张,吸烟史,危险因素-疾病,患者%~% CT慢阻肺应与哮喘、支气管扩张症、充血性心力 往往吸烟史较长，每日痰量较大，加重次数较多，肺衰竭、肺结核和弥漫性泛细...
肺结核,吸烟史,危险因素-疾病,...者%~% CT慢阻肺应与哮喘、支气管扩张症、充血性心力 往往吸烟史较长，每日痰量较大，加重次数较多，肺衰竭、肺结核和弥漫性泛细支气管炎等相鉴别，尤 功能较差，炎症生物标志物水...
鼻窦炎,吸烟,危险因素-疾病,...障碍CT弥漫性泛细支气管炎 主要发生在亚洲人群中，多为男性非吸烟者，患者几乎均有慢性鼻窦炎， 胸片和高分辨率 示弥漫性小叶中央结X CT节影和过度充气...
呼吸衰竭,吸烟,危险因素-疾病,...（包括烟（）出现严重的合并症如心律失常、心力衰竭、 龄、每日吸烟量等）以及是否使用电子烟和其他烟呼吸衰竭等。
支气管哮喘,烟草烟雾,危险因素-疾病,氨溴索还可通过调节氧化应激反应使慢．戒烟干预：烟草烟雾是包括慢阻肺及哮喘在阻肺急性加重患者获益∞“。
吸入药物,呼吸困难,药物-导致-并发症,...次为频繁加重，应考虑转诊至专科≥医生处就诊（二）慢阻肺的随访吸入药物有无不良反应，使用吸入糖皮质激素是否漱口对于已纳入慢性病综合管理的慢阻肺患者，应运动耐量： 呼吸困难分级 级或以上，转诊进行呼
ACEI,慢性咳嗽,药物-导致-并发症,"...March,Vol.,No.（四） 和其他药物诱发的咳嗽 表慢性咳嗽的少见病因ACEI咳嗽是 类降压药物的常见不良反应，发 分类 疾病ACEI生率..."
支气管舒张剂,咳痰,药物-导致-并发症,...肺诊断的“金标准”，肺功能检查提示肺泡异常所致，以慢性咳嗽、咳痰和活动后气促为主 吸入支气管舒张剂后第 秒用力呼气末容积（FEV ）/要症状，其会导致患者生活...
肺减容手术,呼吸困难,治疗-改善-症状,按需氧疗、无创通气、 学习吸入技术肺减容术、舒缓治疗 缓解呼吸困难 慢阻肺治疗的远期目标是降低患者病死率，表疫苗 制订行动计划...
无创通气,呼吸困难,治疗-改善-症状,...疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治
无创通气,乏力,治疗-改善-症状,在常规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。
体位引流,慢性咳嗽,治疗-改善-症状,"...排, ; ,采取有效诊断措施 痰治疗 如刺激咳嗽 叩击胸部 体位引流等方。"
手术切除,慢性咳嗽,治疗-改善-症状,肺癌咳嗽的治疗关键在于原发灶的治 的慢性咳嗽病因检查，排除已知的慢性咳嗽病因，疗，放疗、化疗、射频消融术及手术切除肺部肿瘤能 针对慢性咳嗽病因治疗无效的情况下，方可考虑不够缓...
补肺,慢性咳嗽,治疗-改善-症状,病情，及时识别以咳嗽为突出症状的危及生命的疾治法：补肺益肾，温阳止咳 病，并给予正确处理，迅速转诊至有治疗条件的上...
益肾,慢性咳嗽,治疗-改善-症状,病情，及时识别以咳嗽为突出症状的危及生命的疾治法：补肺益肾，温阳止咳 病，并给予正确处理，迅速转诊至有治疗条件的上方药...
肺康复,呼吸困难,治疗-改善-症状,肺康复是对患者进行全面评估后为患积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外者量身打造的个体化综合干预，是改善呼吸困难、并发症或合并症也是加重呼吸道症状的常见原因，健康状况和运动...
戒烟,慢性咳嗽,治疗-改善-症状,...知识、规律用 吸困难导致机体能量过度消耗、消化吸收功能减药、戒烟、疫苗接种、肺康复训练、定期随访、急性发 退，从而出现营养不...
肺康复,慢性咳嗽,治疗-改善-症状,...困难导致机体能量过度消耗、消化吸收功能减药、戒烟、疫苗接种、肺康复训练、定期随访、急性发 退，从而出现营养不良。
戒烟,腹胀,治疗-改善-症状,...然戒 避免在睡前服用~延长 酒或停用镇静剂酒石酸伐尼克兰片 戒烟前 周开始用药，第 天，对伐尼克兰或类似物过敏 恶心，口干，腹胀，便秘，所有接受伐尼克兰治疗的患者都~， 次 ；
阻抗训练,慢性咳嗽,治疗-改善-症状,...包者制定合理、科学的食谱，对摄入正常食物无法满 括有氧运动、阻抗训练、呼吸肌训练、咳嗽和气道足营养需要的患者可以适当给予口服营养...
戒烟,呼吸困难,治疗-改善-症状,...技术及依从性 中药治疗 启动管理体力活动和运动 非药物治疗 戒烟 够控制呼吸困难和急性加重，仍然可以继续用，但需要进行呼吸康复 接种疫苗自我...
补肺,中成药,治疗-改善-症状,级别: D; 推荐强度: 强推荐使用) : 党参g、黄芪 中成药: 肺肾气虚兼血瘀者，可选补肺活血胶g、白术g、茯苓g、杏仁g、川贝母g、地龙 囊［-］(...
宣肺止咳,肺脾气虚,治疗-改善-症状,际; 肺阴亏虚证，加膏肓、太溪; 肺脾气虚者，可..疏风散寒，宣肺止咳类 通宣理肺丸 ( 胶 加脾俞、足三里; 素体阳虚，咳嗽遇冷...
宣肺止咳,慢性咳嗽,治疗-改善-症状,...; 肺阴亏虚证，加膏肓、太溪; 肺脾气虚者，可..疏风散寒，宣肺止咳类 通宣理肺丸 ( 胶 加脾俞、足三里; 素体阳虚，咳嗽遇冷...
活血,胸闷,治疗-改善-症状,⑤ 胸闷甚至气 其标”的原则，以清热、涤痰、活血、宣降肺气、开逆不能平卧；
补肺,肺脾气虚,治疗-改善-症状,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾...
健脾,肺脾气虚,治疗-改善-症状,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾气虚证用补肺...
补肺,气虚,治疗-改善-症状,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用...
益肾,气虚,治疗-改善-症状,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾气虚证用补肺益肾方）可减少患者急性加重次 方，亦可选用六君子汤和黄芪汤加减[...
益肾,中成药,治疗-改善-症状,方药:补肺益肾方［-］( 证据级别 B;推荐强度:中成药:玉屏风颗粒［-］( 冲剂) ( 证据级别 B; 强推荐使用...
健脾,气虚,治疗-改善-症状,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾气虚证用补肺...
益肾,肺脾气虚,治疗-改善-症状,（肺气虚证用补肺方，肺脾气虚证用补肺健脾方， 中医辨证方案为：肺脾气虚证采用补肺健脾肺肾气虚证用补肺益肾方）可减少患者急性加重次 方，亦可选用六君子汤和黄芪汤加减[...
肺康复,气虚,治疗-改善-症状,B级证据）肾定喘丸联合沙美特罗替卡松及肺康复训练治疗慢阻肺 证据概述：项随机、安慰剂对照、多中心、双盲稳定期肺肾气虚证GOLD~级患者周，较对照组 RCT（例）[]报道了黄龙咳...
舒肺贴,中成药,治疗-改善-症状,"太极拳、针刺、呼吸 亦可选用小青龙汤加减[,]，或选用中成药小青龙导引、穴位贴敷（如舒肺贴、消喘膏等）、益肺灸等 颗粒[,]；"
益肺灸,中成药,治疗-改善-症状,"太极拳、针刺、呼吸 亦可选用小青龙汤加减[,]，或选用中成药小青龙导引、穴位贴敷（如舒肺贴、消喘膏等）、益肺灸等 颗粒[,]；"
活血,气虚,治疗-改善-症状,... 推荐强度: 强推荐使用) : 党参g、黄芪 中成药: 肺肾气虚兼血瘀者，可选补肺活血胶g、白术g、茯苓g、杏仁g、川贝母g、地龙 囊［-］( 证...
活血,祛邪,治疗-改善-症状,...要》引《皆效方》加减［，］( 证据级别:D;推 瘀，故治疗当祛邪( 化痰、活血) 扶正( 补益肺气、补荐强度:强推荐使用) : 法半夏g、...
补肺,祛邪,治疗-改善-症状,...等实证，以虚证为主，以实证为次，故治疗以补益为主如补益肺气、补肺健脾、补肺益肾等，佐以祛邪如 克虎、詹思延、胡镜清、张俊华、陈薇、廖星、宇文亚。
健脾,祛邪,治疗-改善-症状,...要》引《皆效方》加减［，］( 证据级别:D;推 瘀，故治疗当祛邪( 化痰、活血) 扶正( 补益肺气、补荐强度:强推荐使用) : 法半夏g、厚朴g、陈皮 肺健脾、补益肺肾等) 并重［，］。
健脾,喘息,治疗-改善-症状,...，在西医常规治疗基础上，中迷) ;) 肢体瘛疭甚则抽搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数。
健脾,慢性咳嗽,治疗-改善-症状,... 三联药物（ICS/LABA/LAMA）联合使用丹龙口服液较健脾益气的功效，可改善慢阻肺患者咳嗽痰多、色白黏 对照组，可改善...
健脾,咳痰,治疗-改善-症状,推荐依据：固肾定喘丸功效温肾纳气、健脾化用法用量：玉屏风颗粒，口服，每次g，每日 痰，可缓解慢阻肺稳定期患者喘息气短、咳嗽咳痰、腰次。
补肺,腹泻,治疗-改善-症状,干、腹泻、恶心、心悸，治疗组与对照组比较差异无统 用法用量：保元汤合人参补肺汤（人参g 黄芪g计学意义（RR.，%CI：.~.）。
补肺,乏力,治疗-改善-症状,...：补中益气汤具有补中益气、升阳举陷的 推荐依据：百令胶囊功效补肺肾，益精气，可改善功效，可通过培补脾胃、滋养气血肌肉，改善慢阻肺患 肺肾亏虚导致的运动不耐受，神疲乏力，腰膝酸软等症者运动不耐受。
肺康复,喘息,治疗-改善-症状,B级证据）肾定喘丸联合沙美特罗替卡松及肺康复训练治疗慢阻肺 证据概述：项随机、安慰剂对照、多中心、双盲稳定期肺肾气虚证GOLD~级患者周，较对照组 RCT（例）[]报道了黄龙咳喘胶囊治疗慢阻肺稳定期可
补肺,头晕,治疗-改善-症状,...：纳入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉
活血,头晕,治疗-改善-症状,...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风
宣肺止咳,风寒袭肺,治疗-改善-症状,宣肺止咳的功效，联合使用可改善慢阻肺风寒袭肺证使用方法：使用方法见表。
无创通气,慢性咳嗽,治疗-改善-症状,...气，需要注意经 推荐依据：痰热清注射液功擅清热、化痰、解毒，无创通气初始治疗失败而接受有创通气的患者，其并发 联合使用改善慢阻肺...
无创通气,咳痰,治疗-改善-症状,...气，需要注意经 推荐依据：痰热清注射液功擅清热、化痰、解毒，无创通气初始治疗失败而接受有创通气的患者，其并发 联合使用改善慢阻肺急性加重期患者咳嗽咳痰等症状，症更多、住院时间更长、病死率更高，应
活血,肢体酸痛,治疗-改善-症状,...郁化热，烦躁口渴、口苦者，减桂枝，加急性加重期以清热、涤痰、活血、宣肺降气、开窍而立 生石膏g( 先煎) 、黄芩g、桑白皮g;肢体酸痛法，兼顾气阴。
活血,中成药,治疗-改善-症状,级别: D; 推荐强度: 强推荐使用) : 党参g、黄芪 中成药: 肺肾气虚兼血瘀者，可选补肺活血胶g、白术g、茯苓g、杏仁g、川贝母g、地龙 囊［-］( 证...
补肺,喘息,治疗-改善-症状,...，在西医常规治疗基础上，中迷) ;) 肢体瘛疭甚则抽搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数...
补肺,意识障碍,治疗-改善-症状,...搐;) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数...
健脾,意识障碍,治疗-改善-症状,...) 喘息气促;) 喉中痰 医辨证治疗方案( 肺脾气虚证用补肺健脾方，肺肾气鸣;) 舌质淡或红、舌苔白腻或黄腻，或脉滑或数。
益肾,呼吸困难,治疗-改善-症状,次症: 喉中痰 证用补肺益肾方) 能够减少患者急性加重次数，改善鸣，肢体瘛疭甚则抽搐，舌质暗红、绛、紫，脉滑、 肺功能和呼吸困难程度，改善临床症状，提高运动耐数［］。
健脾,头晕,治疗-改善-症状,此证亦可选用补肺健脾方［-］( 证据级别 B; 头晕;) 干咳或少痰、咯痰不爽;) 盗汗;) 手足心推荐强度:弱...
益肾,祛邪,治疗-改善-症状,...为主，以实证为次，故治疗以补益为主如补益肺气、补肺健脾、补肺益肾等，佐以祛邪如 克虎、詹思延、胡镜清、张俊华、陈薇、廖星、宇文亚。
补肺,腹胀,治疗-改善-症状,治疗可改善患者咳嗽、咯痰、气短、纳少、腹胀症状( 推荐强 补肺汤处方出处为元·李仲南《永类钤方》。
健脾,中成药,治疗-改善-症状,不良反应:偶见恶心、呕吐、胃 虚证候慢阻肺中成药予人参健脾丸［］治疗可提高MWD部不适、便秘、咽干。
活血,失眠,治疗-改善-症状,适应症:益气活血，补仁;失眠者加远志、龙骨、牡蛎;腹泻者去肉苁蓉、熟地黄加车 肺固肾。
活血,腹泻,治疗-改善-症状,适应症:益气活血，补仁;失眠者加远志、龙骨、牡蛎;腹泻者去肉苁蓉、熟地黄加车 肺固肾。
血气分析,呼吸困难,检查-评估-疾病,...状，如突发或加观察症状和体征，连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡；
血气分析,意识障碍,检查-评估-疾病,...状，如突发或加观察症状和体征，连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡...
呼吸频率,意识障碍,检查-评估-疾病,...连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡；
CT,慢性咳嗽,检查-评估-疾病,...（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个...
肺功能,喘息,检查-评估-疾病,有些哮喘患者肺功能已有明显下降，. UACS/PNDS等多种基础疾病，症状及体征差异较大且多无特异 但咳嗽仍为唯一症状或主要症状，也有部分典型哮性，因此，必须综合病史、体征及相关检查，在除外 喘患者在
CT,咳痰,检查-评估-疾病,...的随机对照试验（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个...
CT,喘息,检查-评估-疾病,...（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个月或更长时证据来自有研究缺陷的 或低质量的...
肺功能,胸闷,检查-评估-疾病,第 秒用力呼气容积 依据上述肺功能分级和对症状及急性加重风GOLD FEV表慢性阻塞性肺疾病（慢阻肺）患者自我评估测试问卷（ 问卷）［］CAT症状 评分（分） 症状我从不咳嗽 我总是咳嗽我肺里一点痰都
CT,心动过速,检查-评估-疾病,...动脉造影、 二聚体以及胸部 检查、肺通气灌注显影、. D⁃ CT D⁃ CT肺动脉造影 下肢多普勒超声、超声心动图联合检测. CT心力衰竭 胸部影像学 新出现的呼吸困难或呼吸困难加剧、心动过速、
CT,变应性咳嗽,检查-评估-疾病,CTC部 检查有助于发现气管壁增厚、气管壁钙化、气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支
肺功能,肺脾气虚,检查-评估-疾病,...阻肺的疾病特点与转..中医药治疗是否可延缓慢阻肺稳定期患者的肺功能 归，增强其接受规范诊疗的信心，并提醒患者定期监测与随下降 访;另一方面，建议慢阻肺患者注意生活方式的调整，同时临...推荐意见
脉搏血氧,心动过速,检查-评估-疾病,"评分 记录呼吸急促 心动过速等体征 结合痰量与环境因素 也可以由; 、 , AECOPD AECOPD和颜色 呼吸窘迫 如使用辅助呼吸肌 综合评 非感染因素引起 如吸烟 大气污染 吸入变应原、 ( )"
CT,肺癌,检查-筛查-疾病,目前市面上存在‑CTC FeNO往检查仍无法明确病因，或针对常见病因治疗无 多种品牌的 检测仪器，但健康人参考值尚未FeNO效，或怀疑支气管扩张、肺癌或异物等少见病因的 完全统一，且诊断嗜酸粒细胞性气
慢性阻塞性肺疾病,肺功能,检查-辅助诊断-疾病,...目 一级医院 二级医院 慢阻肺诊断改进空间 医生（N=）简易肺功能仪.%.% 患者不重视，未及时就诊%大肺功能仪 -.% 患者...
慢性阻塞性肺疾病,CT,检查-辅助诊断-疾病,必要时行胸部 检查CT肺栓塞 临床可能性评估（咯血、外科 低氧血症与慢阻肺的严重程...
呼吸衰竭,肺功能,检查-辅助诊断-疾病,肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。
右心衰竭,肺功能,检查-辅助诊断-疾病,肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。
慢性阻塞性肺疾病,血气分析,检查-辅助诊断-疾病,...以上医院在确定治疗和管理方 FEV ）测定、检测血氧饱和度和血气分析以评估患案后，应到基层医疗机构接受长期管理。
慢性阻塞性肺疾病,心电图,检查-辅助诊断-疾病,"AECOPD ,心电图学评价 患者常见心电图 病原菌 铜绿假单胞菌 或其他革兰阴性..."
支气管哮喘,心电图,检查-辅助诊断-疾病,...病（简称慢阻肺）诊断流程慢阻肺合并慢性肺动脉高压或慢性肺心病心电图鉴别诊断：慢阻肺应与哮喘、支气管扩张症、可表现为：额面平均电轴 ；
支气管扩张,心电图,检查-辅助诊断-疾病,...病（简称慢阻肺）诊断流程慢阻肺合并慢性肺动脉高压或慢性肺心病心电图鉴别诊断：慢阻肺应与哮喘、支气管扩张症、可表现为：额面平均电轴 ；
支气管扩张,CT,检查-辅助诊断-疾病,CTC部 检查有助于发现气管壁增厚、气管壁钙化、气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型...
呼吸衰竭,脉搏血氧,检查-辅助诊断-疾病,部 检查、诱导痰细胞学分类、呼出气一氧化氮CT脉搏血氧饱和度监测和血气分析：脉搏血氧 （ ， ）检测、超声心. fractional exhaled nitric oxide FeNO饱和度可用于评估
呼吸衰竭,血气分析,检查-辅助诊断-疾病,...查、诱导痰细胞学分类、呼出气一氧化氮CT脉搏血氧饱和度监测和血气分析：脉搏血氧 （ ， ）检测、超声心. fractional exhaled nitric oxide FeNO饱和度可用于评估
心力衰竭,血气分析,检查-辅助诊断-疾病,...查、诱导痰细胞学分类、呼出气一氧化氮CT脉搏血氧饱和度监测和血气分析：脉搏血氧 （ ， ）检测、超声心. fractional exhaled nitric oxide FeNO饱和度可用于评估
心力衰竭,脉搏血氧,检查-辅助诊断-疾病,部 检查、诱导痰细胞学分类、呼出气一氧化氮CT脉搏血氧饱和度监测和血气分析：脉搏血氧 （ ， ）检测、超声心. fractional exhaled nitric oxide FeNO饱和度可用于评估
肺动脉高压,心电图,检查-辅助诊断-疾病,慢阻肺合并慢性肺动脉高压或慢性肺心病 进行推荐项目检查的目的是为了进一步评估慢阻的心电图可表现为：额面平均电轴 ；
支气管哮喘,肺功能,检查-辅助诊断-疾病,肺功能检查提示阻塞性通气功能障碍，且为持续并进展性气流受限支气管哮喘 早年发病（通常在儿童期），每日症状变化快，夜间和清晨症状明...
心力衰竭,肺功能,检查-辅助诊断-疾病,肺功能检查多为可逆性气流受限充血性心力衰竭 线胸片示心脏扩大、肺水肿，心脏病史、心电图、超声心动图、型...
支气管扩张,肺功能,检查-辅助诊断-疾病,...性阻塞性肺疾病患者自我评估测试问卷;SGＲQ:圣·乔治医..肺功能检查 吸入支气管扩张剂后 FEV /FVC＜院呼吸问题调查问卷;GOLD:慢性阻...
肺结核,肺功能,检查-辅助诊断-疾病,肺功能检查可出现阻塞性通气功能障碍肺结核 所有年龄均可发病， 线胸片示肺浸润性病灶或结节状、空洞样改...
