关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source
药物-治疗-疾病	慢性阻塞性肺疾病	度普利尤单抗	Disease	Medication	COPD	度普利尤单抗	7_【参考】疾病治疗专题研究-COPD 领域出现新突破.txt	explicit	. 《年月原料药相关价格情况 》--❖ 度普利尤单抗COPD适应症获批上市，患者分层或成临床试验的关键：. 《创...	待审核		方向规范化：尾实体是Disease，反转方向（原度普利尤单抗→慢性阻塞性肺疾病）	explicit
药物-治疗-疾病	支气管扩张	短效β2受体激动剂	Disease	Medication	支气管扩张	SABA	8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法.txt	explicit	◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾化...	待审核		方向规范化：尾实体是Disease，反转方向（原短效β2受体激动剂→支气管扩张）	explicit
药物-治疗-疾病	支气管扩张	激动剂	Disease	Medication	支气管扩张	激动剂	8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法.txt	explicit	◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾...	待审核		方向规范化：尾实体是Disease，反转方向（原激动剂→支气管扩张）	explicit
药物-治疗-疾病	支气管扩张	抗胆碱能药物	Disease	Medication	支气管扩张	抗胆碱能药物	8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法.txt	explicit	◼ 急性加重期治疗：支气管扩张剂优先推荐单用SABA（短效β受体激动剂）或联合SAMA（短效抗胆碱能药物）吸入治疗（住院患者首选雾化吸入，门诊/家庭治疗可采用吸入定...	待审核		方向规范化：尾实体是Disease，反转方向（原抗胆碱能药物→支气管扩张）	explicit
药物-治疗-疾病	慢性阻塞性肺疾病	生物制剂	Disease	Medication	COPD	生物制剂	8_【参考】创新药盘点系列报告-慢性阻塞性肺病治疗领域迎来新机制、新疗法.txt	explicit	...用吸入三联难治患者占比%~%，对应~万人，艾特利单抗/ ST生物制剂渗透率%~%，年用药费用万元，对应市场空间 （Roche/A...	待审核		方向规范化：尾实体是Disease，反转方向（原生物制剂→慢性阻塞性肺疾病）	explicit
诱发-急性加重	慢性阻塞性肺疾病	呼吸道感染	Disease	RiskFactor	慢阻肺	呼吸道感染	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	cooccur	...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→慢性阻塞性肺疾病）	cooccur
诱发-急性加重	糖尿病	呼吸道感染	Disease	RiskFactor	糖尿病	呼吸道感染	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中重度吸烟、长期粉尘组成慢阻肺中西医结合管理专家共识写作组...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→糖尿病）	cooccur
诱发-急性加重	贫血	呼吸道感染	Disease	RiskFactor	贫血	呼吸道感染	11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA.txt	cooccur	COPD患者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→贫血）	cooccur
诱发-急性加重	慢性阻塞性肺疾病	肺康复	Disease	Treatment	慢阻肺	肺康复	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	（四）体力活动和肺康复 的急性加重患者有明确的病毒或细菌感染证鼓励所有慢阻肺患者保...	待审核		方向规范化：尾实体是Disease，反转方向（原肺康复→慢性阻塞性肺疾病）	cooccur
诱发-急性加重	慢性支气管炎	吸烟	Disease	RiskFactor	慢性支气管炎	吸烟	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	cooccur	...A+ICS ICS出院早期的 患者，仍处于急性加 （ 且患有慢性支气管炎）或阿奇霉素（既AECOPD FEV<%重 稳定期的过渡期，易出现病情反复、诱发心血管 往吸烟患者），也可尝试生物制剂。	待审核		方向规范化：尾实体是Disease，反转方向（原吸烟→慢性支气管炎）	cooccur
药物-治疗-疾病	支气管扩张	吸入性糖皮质激素	Disease	Medication	支气管扩张	ICS	68_2022_慢性阻塞性肺疾病免疫调节治疗专家共识.txt	cooccur	...免疫的作用，有助于机体有效清除病毒抗原及 治疗（包含吸入长效支气管扩张剂及ICS治疗等）但各种抗原抗体复合物，进而提高机体抗病能力...	待审核		方向规范化：尾实体是Disease，反转方向（原吸入性糖皮质激素→支气管扩张）	cooccur
诱发-急性加重	肺炎	激动剂	Disease	Medication	肺炎	激动剂	11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA.txt	cooccur	与特定活性药物组合相关的不良事件的评估，如长效β 激动剂和吸入性糖皮质激素联用，需要评估是否增加肺炎发生率或降低呼吸道感染。	待审核		方向规范化：尾实体是Disease，反转方向（原激动剂→肺炎）	cooccur
药物-治疗-疾病	肺炎	吸入性糖皮质激素	Disease	Medication	肺炎	ICS	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管呼吸音，线胸片显示可疑...	待审核		方向规范化：尾实体是Disease，反转方向（原吸入性糖皮质激素→肺炎）	cooccur
诱发-急性加重	肺炎	呼吸道感染	Disease	RiskFactor	肺炎	呼吸道感染	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	...咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球菌 其次为铜绿假单胞菌 革兰阴性肠杆菌d , , 、 、或 心动过速 通常是因为呼吸道感染 空气污 金黄色葡萄球菌和副流感嗜血杆菌等 但国内一项( )...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→肺炎）	cooccur
诱发-急性加重	鼻窦炎	呼吸道感染	Disease	RiskFactor	鼻窦炎	呼吸道感染	35_咳嗽中医诊疗专家共识意见（2021）.txt	cooccur	嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→鼻窦炎）	cooccur
诱发-急性加重	支气管炎	呼吸道感染	Disease	RiskFactor	支气管炎	呼吸道感染	35_咳嗽中医诊疗专家共识意见（2021）.txt	cooccur	嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－支气管炎; 亚急性咳嗽主要包括感染二次共识论证会，根据专家意见进一步...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→支气管炎）	cooccur
药物-治疗-疾病	心力衰竭	激动剂	Disease	Medication	心力衰竭	激动剂	11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA.txt	cooccur	心血管不良反应（心肌梗塞、心绞痛、高血压、房颤、心力衰竭、心血管死亡、QT延长、全身性栓塞、中风等）需予以特别关注，并应进行密切监测、评估和说明，尤其是在联合使用长效β 激动剂+抗胆碱药的情况下。	待审核		方向规范化：尾实体是Disease，反转方向（原激动剂→心力衰竭）	cooccur
危险因素-疾病	慢性阻塞性肺疾病	烟草烟雾	Disease	RiskFactor	慢阻肺	烟草烟雾	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...，有文献报道女慢阻肺是一种常见的、可预防和治疗的慢性气 性对烟草烟雾的危害更敏感［， ］。	待审核		方向规范化：尾实体是Disease，反转方向（原烟草烟雾→慢性阻塞性肺疾病）	cooccur
诱发-急性加重	慢性阻塞性肺疾病	细菌感染	Disease	RiskFactor	COPD	细菌感染	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	...经常冬季咳嗽 、 咳痰 , 伴或不伴气短, AECOPD 非慢性阻塞性肺疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细菌感染 空气污染和寒冷 ,, 、 评估全身性并发症 药物使用及依从...	待审核		方向规范化：尾实体是Disease，反转方向（原细菌感染→慢性阻塞性肺疾病）	cooccur
诱发-急性加重	慢性支气管炎	呼吸道感染	Disease	RiskFactor	慢性支气管炎	呼吸道感染	68_2022_慢性阻塞性肺疾病免疫调节治疗专家共识.txt	cooccur	...可有效预 疗 年（ mg/次， 次/d）可有效降低慢阻肺急防呼吸道感染、减少慢性支气管炎急性感染发作次 性加重次数并缩短急性加重期持续时间。	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→慢性支气管炎）	cooccur
诱发-急性加重	慢性阻塞性肺疾病	空气污染	Disease	RiskFactor	慢阻肺	空气污染	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	cooccur	...：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸...	待审核		方向规范化：尾实体是Disease，反转方向（原空气污染→慢性阻塞性肺疾病）	cooccur
诱发-急性加重	支气管哮喘	呼吸道感染	Disease	RiskFactor	哮喘	呼吸道感染	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	mMRC ,总之 呼吸道病毒感染是导致 的常 发热和上呼吸道感染症状 , 如经常冬季咳嗽 、 咳痰 , 伴或不伴气短, AECOPD 非慢性阻塞性肺疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细菌感染 空气污染和寒冷 ,, 、 评估全身性并发症 药物使用及依从性 如胸痛 下肢水肿 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒 对支气管舒张剂的需求增加AECOPD 。	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→支气管哮喘）	cooccur
药物-治疗-疾病	慢性阻塞性肺疾病	线胸片	Disease	Medication	慢性阻塞性肺疾病	线胸片	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	... J Gen Pract, June, Vol., No.表慢性阻塞性肺疾病（慢阻肺）急性加重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管呼吸音，线胸片显示可疑浸润性阴影，白细胞增多，反应蛋白和降钙素原水平增高；	待审核		方向规范化：尾实体是Disease，反转方向（原线胸片→慢性阻塞性肺疾病）	cooccur
药物-治疗-疾病	肺结核	线胸片	Disease	Medication	肺结核	线胸片	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	肺功能检查可出现阻塞性通气功能障碍肺结核 所有年龄均可发病， 线胸片示肺浸润性病灶或结节状、空洞样改变，痰或支气管镜下肺部灌洗标...	待审核		方向规范化：尾实体是Disease，反转方向（原线胸片→肺结核）	cooccur
检查-辅助诊断-疾病	右心衰竭	血气分析	Disease	Examination	右心衰竭	血气分析	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	肺功能检查 a（）脉搏氧饱和度（ ）监测和动脉血气分析：当SpO患者临床症状提示有呼吸衰竭或右心衰竭时应监使用支气管舒张剂后 使用支气管舒张剂后测 。	待审核		方向规范化：尾实体是Disease，反转方向（原血气分析→右心衰竭）	cooccur
检查-辅助诊断-疾病	心血管疾病	肺功能	Disease	Examination	心血管疾病	肺功能	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	cooccur	...是否存在合并症以及是否给予相应治疗，如合并其他呼吸系统病变、心血管疾病、骨质疏松、营养不良等注： 指数包含 占预计值 、 步行距离、 评分和体重指数 个方面，总分 分，可预测慢阻肺患者生存率BODE FEV%min mMRC~等客观指标综合评估心肺功能和体适能，制定个体化康复治疗方案或进行策略调整。	待审核		方向规范化：尾实体是Disease，反转方向（原肺功能→心血管疾病）	cooccur
危险因素-疾病	骨质疏松症	吸烟	Disease	RiskFactor	骨质疏松症	吸烟	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。	待审核		方向规范化：尾实体是Disease，反转方向（原吸烟→骨质疏松症）	cooccur
检查-辅助诊断-疾病	慢性阻塞性肺疾病	血嗜酸粒细胞计数	Disease	Examination	慢阻肺	血嗜酸粒细胞计数	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...CS隆 溴 铵 （ ）［ ］ 、乌 美 溴 铵 异质性，外周血嗜酸粒细胞计数可用于指导 的‐glycopyrronium ICS（ ）［...	待审核		方向规范化：尾实体是Disease，反转方向（原血嗜酸粒细胞计数→慢性阻塞性肺疾病）	cooccur
检查-辅助诊断-疾病	支气管哮喘	血嗜酸粒细胞计数	Disease	Examination	哮喘	血嗜酸粒细胞计数	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	对于血嗜酸粒细胞计数 个≥/数 个 的急性加重高风险患者，使用 或合并哮喘的患者...	待审核		方向规范化：尾实体是Disease，反转方向（原血嗜酸粒细胞计数→支气管哮喘）	cooccur
药物-治疗-疾病	支气管哮喘	LABA联合LAMA	Disease	Medication	哮喘	LABA+LAMA	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	合并LABA+LAMA ICS+LABAICS+LABA+LAMA 哮喘的患者和近 年发生过 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥/μlLABA 建议升...	待审核		方向规范化：尾实体是Disease，反转方向（原LABA联合LAMA→支气管哮喘）	cooccur
药物-治疗-疾病	支气管哮喘	ICS联合LABA	Disease	Medication	哮喘	ICS+LABA	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	合并LABA+LAMA ICS+LABAICS+LABA+LAMA 哮喘的患者和近 年发生过 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥/μlLABA 建议升...	待审核		方向规范化：尾实体是Disease，反转方向（原ICS联合LABA→支气管哮喘）	cooccur
药物-治疗-疾病	支气管哮喘	长效毒蕈碱拮抗剂	Disease	Medication	哮喘	LAMA	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	... 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥/μlLABA 建议升...	待审核		方向规范化：尾实体是Disease，反转方向（原长效毒蕈碱拮抗剂→支气管哮喘）	cooccur
药物-治疗-疾病	支气管哮喘	支气管舒张剂	Disease	Medication	哮喘	支气管舒张剂	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	... 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒 对支气管舒张剂的需求增加AECOPD 。	待审核		方向规范化：尾实体是Disease，反转方向（原支气管舒张剂→支气管哮喘）	cooccur
药物-治疗-疾病	支气管哮喘	长效β2受体激动剂	Disease	Medication	哮喘	LABA	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	... 次急A B 性加重且血 个 的患者或 次急性加重并且 一种支气管舒张剂 一种长效支气管舒张剂（ EOS ≥/μlLABA 建议升...	待审核		方向规范化：尾实体是Disease，反转方向（原长效β2受体激动剂→支气管哮喘）	cooccur
药物-治疗-疾病	支气管炎	ICS联合LABA	Disease	Medication	支气管炎	ICS+LABA	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...呼吸困难或运动受限 添加罗氟司特（针对 占预计值 ［ ］、慢ICS+LABA FEV%<%的 患 者 ，推 荐 升 级 至 三 联 疗 法（ 性支气管炎且近 年来至少出现 次急性加重住ICS+LABA+）。	待审核		方向规范化：尾实体是Disease，反转方向（原ICS联合LABA→支气管炎）	cooccur
药物-治疗-疾病	慢性阻塞性肺疾病	黏液溶解剂	Disease	Medication	慢阻肺	黏液溶解剂	29_【CASA-Q量表】慢性气道炎症性疾病气道黏液高分泌管理中国专家共识.txt	cooccur	()氨溴索：是目前临床应用最广泛的黏液动 明以黏液溶解剂为代表的祛痰类药物可降低慢阻肺力药，可刺激呼吸道表面活性剂的...	待审核		方向规范化：尾实体是Disease，反转方向（原黏液溶解剂→慢性阻塞性肺疾病）	cooccur
检查-辅助诊断-疾病	肺炎	CT	Disease	Examination	肺炎	CT	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	（）肺炎球菌疫苗：多项 研究显示，慢阻肺long‐term oxygen therapy LTOTRCT态下严重低氧血症患者的生存率，对血流动力学、 患者接种肺炎球...	待审核		方向规范化：尾实体是Disease，反转方向（原CT→肺炎）	cooccur
诱发-急性加重	慢性阻塞性肺疾病	肺减容手术	Disease	Treatment	慢阻肺	LVRS	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	"的禁 慢阻肺急性加重的病因和诱发因素：慢阻肺LVRS.
忌证包括： 占预计值 ；"	待审核		方向规范化：尾实体是Disease，反转方向（原肺减容手术→慢性阻塞性肺疾病）	cooccur
药物-治疗-疾病	肺炎	支气管舒张剂	Disease	Medication	肺炎	支气管舒张剂	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	吸入支气管舒张剂 如果以前没有卧床 需能的预防 通常是可以预;() , AECOPD AECOPD在室内行走 能够进食 且呼吸困难程度不影 防的 戒烟 流感疫苗接种和肺炎球菌疫苗接种;() , 。	待审核		方向规范化：尾实体是Disease，反转方向（原支气管舒张剂→肺炎）	cooccur
药物-治疗-疾病	肺炎	线胸片	Disease	Medication	肺炎	线胸片	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...重与其他疾病的鉴别诊断分类 疾病 辅助检查 鉴别要点最常见 肺炎 胸部影像学 发热，听诊有啰音或支气管呼吸音，线胸片显示可疑浸润性阴影，白细胞增多，反应蛋白和降钙素原水平增高；	待审核		方向规范化：尾实体是Disease，反转方向（原线胸片→肺炎）	cooccur
药物-治疗-疾病	慢性阻塞性肺疾病	茶碱类药物	Disease	Medication	慢阻肺	茶碱类药物	68_2022_慢性阻塞性肺疾病免疫调节治疗专家共识.txt	cooccur	...液免疫和细胞免疫水平、纠正免疫功能紊乱， 用该药物，且不应与茶碱类药物同时应用［］。	待审核		方向规范化：尾实体是Disease，反转方向（原茶碱类药物→慢性阻塞性肺疾病）	cooccur
检查-辅助诊断-疾病	呼吸衰竭	呼吸频率	Disease	Examination	呼吸衰竭	呼吸频率	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	慢阻肺患急性加重合并 型呼吸衰竭患者首选的呼吸支持 PEEP%Ⅱ 者的撤机过程可能会遇到困难，有创与无创序贯性方式［， ］，可改善患者呼吸性酸中毒，降低 、PaCO机械通气策略有助于早日撤机［呼吸频率、呼吸困难程度，缩短住院时间，减少病死（四）出院、访视及预防...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸频率→呼吸衰竭）	cooccur
检查-辅助诊断-疾病	慢性阻塞性肺疾病	呼吸频率	Disease	Examination	COPD	呼吸频率	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	...H≥);疗与必要的呼吸支持 低血压时应用血管活性药物 窘迫 呼吸频率 次 对常规氧疗或; ( >/min); NIV如多巴胺 间...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸频率→慢性阻塞性肺疾病）	cooccur
诱发-急性加重	心力衰竭	糖皮质激素	Disease	Medication	心力衰竭	糖皮质激素	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	...现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FEV%pred<%偏[] 合并急性冠状动脉综合征 心力衰竭和心 等危险因素的患者 感染 推荐采用气管内吸取分。	待审核		方向规范化：尾实体是Disease，反转方向（原糖皮质激素→心力衰竭）	cooccur
诱发-急性加重	心力衰竭	抗菌药物	Disease	Medication	心力衰竭	抗菌药物	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	... ( )异常表现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FEV%pred<%偏[] 合并急性冠状动脉综合征 心力衰竭和心 等危险因素的患者 感染 推荐采用气管内吸取分。	待审核		方向规范化：尾实体是Disease，反转方向（原抗菌药物→心力衰竭）	cooccur
药物-治疗-疾病	肺栓塞	糖皮质激素	Disease	Medication	肺栓塞	糖皮质激素	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	"（）家庭 雾化或口服糖皮质激素.
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治疗a：（）严重呼吸困难且对..."	待审核		方向规范化：尾实体是Disease，反转方向（原糖皮质激素→肺栓塞）	cooccur
药物-治疗-疾病	肺栓塞	抗菌药物	Disease	Medication	肺栓塞	抗菌药物	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	"...
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治疗a：（）严重呼吸困难且对..."	待审核		方向规范化：尾实体是Disease，反转方向（原抗菌药物→肺栓塞）	cooccur
诱发-急性加重	慢性阻塞性肺疾病	抗菌药物	Disease	Medication	COPD	抗菌药物	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	西班牙 诊断和治疗指南中抗菌药物 患者 临床上发现合并医院获得性肺炎AECOPD AECOPD ,推荐[]:()对于无铜绿假单胞菌感染危 或者呼吸机相关性肺炎可以结合影像学痰液性状险因素的患者 主要依据 严重程度 当 与细菌学检查调整抗菌药物的应用 发, AECOPD 、 ;AECOPD地耐药状况 费用负担和依从性综合决定 可选用 展为医院获得性肺炎或呼吸机相关性肺炎时抗菌药阿莫西林 克拉维酸 左氧氟沙星或莫西沙星 物的应用 建议参照 慢性阻塞性肺疾病急性加重/ 、 。	待审核		方向规范化：尾实体是Disease，反转方向（原抗菌药物→慢性阻塞性肺疾病）	cooccur
诱发-急性加重	慢性阻塞性肺疾病	抗感染	Disease	RiskFactor	慢阻肺	抗感染	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...冷汗淋漓、精神萎靡的患者，在有创—无创正压通气、吸氧、平喘、抗感染治疗的基础上，推 无创序贯机械通气和基础治疗（解痉平喘药物、...	待审核		方向规范化：尾实体是Disease，反转方向（原抗感染→慢性阻塞性肺疾病）	cooccur
诱发-急性加重	肺炎	糖皮质激素	Disease	Medication	肺炎	糖皮质激素	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	相对少见的病原体包括肺炎 较长时间使用广谱抗菌药物和（或）近期反复全身PA衣原体、肺炎支原体、军团菌、金黄色葡萄球菌 应用糖皮质激素治疗的患者，应注意真菌感染可中华结核和呼吸杂志 年 月第 卷...	待审核		方向规范化：尾实体是Disease，反转方向（原糖皮质激素→肺炎）	cooccur
药物-治疗-疾病	心血管疾病	支气管舒张剂	Disease	Medication	心血管疾病	支气管舒张剂	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流受限严重程度 FEV支气管舒张剂后）碍等。	待审核		方向规范化：尾实体是Disease，反转方向（原支气管舒张剂→心血管疾病）	cooccur
药物-治疗-疾病	心血管疾病	糖皮质激素	Disease	Medication	缺血性心脏病	糖皮质激素	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...入［缺血性心脏病：慢阻肺患者常合并缺血性心长效支气管舒张剂和糖皮质激素联合吸入［］、抗 脏病，但临床上漏诊很常见。	待审核		方向规范化：尾实体是Disease，反转方向（原糖皮质激素→心血管疾病）	cooccur
药物-治疗-疾病	心血管疾病	长效β2受体激动剂	Disease	Medication	缺血性心脏病	LABA	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	慢阻肺患者缺血性心脏病的治‐次数的预防措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌...	待审核		方向规范化：尾实体是Disease，反转方向（原长效β2受体激动剂→心血管疾病）	cooccur
药物-治疗-疾病	心血管疾病	长效毒蕈碱拮抗剂	Disease	Medication	缺血性心脏病	LAMA	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	慢阻肺患者缺血性心脏病的治‐次数的预防措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌...	待审核		方向规范化：尾实体是Disease，反转方向（原长效毒蕈碱拮抗剂→心血管疾病）	cooccur
药物-治疗-疾病	心血管疾病	LABA联合LAMA	Disease	Medication	缺血性心脏病	LABA+LAMA	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌梗死，应用高选择性 受体阻滞剂治LAMA β疗是安全的，如...	待审核		方向规范化：尾实体是Disease，反转方向（原LABA联合LAMA→心血管疾病）	cooccur
药物-治疗-疾病	心血管疾病	吸入性糖皮质激素	Disease	Medication	缺血性心脏病	ICS	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	慢阻肺患者缺血性心脏病的治‐次数的预防措施疗，应按照缺血性心脏病指南进行，无论是治疗心支气管舒张剂LABA 绞痛或是心肌...	待审核		方向规范化：尾实体是Disease，反转方向（原吸入性糖皮质激素→心血管疾病）	cooccur
